bill_id,title,congress,chamber,sponsor,introduced_date,latest_action,policy_area,entity_names
105-hr-4693,"To provide for Federal recognition of the Qutekcak Native Tribe of Alaska and the Tuscarora Nation of the Kau-ta-Noh, and for other purposes.",105,House,"Rep. Young, Don [R-AK-At Large]",1998-10-02,Referred to the House Committee on Resources.,Native Americans,Tuscarora
105-hr-745,"To deauthorize the Animas-La Plata Federal reclamation project, and to direct the Secretary of the Interior to enter into negotiations to satisfy, in a manner consistent with all Federal laws, the water rights interests of the Ute Mountain Ute Indian Tribe and the Southern Ute Indian Tribe.",105,House,"Rep. DeFazio, Peter A. [D-OR-4]",1997-02-13,Subcommittee Hearings Held.,Water Resources Development,Southern Ute|Ute|Ute Mountain
105-s-1338,A bill to authorize the expenditure of certain health care funds by the Ponca Tribe of Nebraska.,105,Senate,"Sen. Kerrey, J. Robert [D-NE]",1997-10-29,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Ponca of Nebraska
105-s-1341,"Cheyenne River Sioux Tribe, Lower Brule Sioux Tribe, and State of South Dakota Terrestrial Wildlife Habitat Mitigation Act of 1997",105,Senate,"Sen. Daschle, Thomas A. [D-SD]",1997-10-29,Read twice and referred to the Committee on Environment and Public Works.,Public Lands and Natural Resources,Cheyenne River Sioux Tribe|Lower Brule
105-s-1488,"A bill to ratify an agreement between the Aleut Corporation and the United States of America to exchange land rights received under the Alaska Native Claims Settlement Act for certain land interests on Adak Island, and for other purposes.",105,Senate,"Sen. Murkowski, Frank H. [R-AK]",1997-11-08,"Committee on Energy and Natural Resources requested executive comment from Department of Defense, Department of the Interior, and Office of Management and Budget.",Public Lands and Natural Resources,Aleut Corporation
105-s-156,Lower Brule Sioux Tribe Infrastructure Development Trust Fund Act,105,Senate,"Sen. Daschle, Thomas A. [D-SD]",1997-01-21,Became Public Law No: 105-132.,Native Americans,Lower Brule
105-s-1662,A bill to authorize the Navajo Indian irrigation project to use power allocated to it from the Colorado River storage project for on-farm uses.,105,Senate,"Sen. Bingaman, Jeff [D-NM]",1998-02-12,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Navajo
105-s-1905,Cheyenne River Sioux Tribe Equitable Compensation Act,105,Senate,"Sen. Daschle, Thomas A. [D-SD]",1998-04-02,Placed on Senate Legislative Calendar under General Orders. Calendar No. 687.,Native Americans,Cheyenne River Sioux Tribe
105-s-2608,Gila River Indian Community-Phelps Dodge Corporation Water Rights Settlement Act of 1998,105,Senate,"Sen. Kyl, Jon [R-AZ]",1998-10-09,Read twice and referred to the Committee on Indian Affairs.,Native Americans,Gila River
105-s-440,"A bill to deauthorize the Animas-La Plata Federal reclamation project and to direct the Secretary of the Interior to enter into negotiations to satisfy, in a manner consistent with all Federal laws, the water rights interests of the Ute Mountain Ute Indian Tribe and the Southern Ute Indian Tribe.",105,Senate,"Sen. Feingold, Russell D. [D-WI]",1997-03-13,Referred to Subcommittee on Water and Power.,Water Resources Development,Southern Ute|Ute|Ute Mountain
106-hr-151,"To repeal the Bennett Freeze thus ending a gross treaty violation with the Navajo Nation and allowing the Navajo Nation to live in habitable dwellings and raise their living conditions, and for other purposes.",106,House,"Rep. Hayworth, J. D. [R-AZ-6]",1999-01-06,Referred to the House Committee on Resources.,Native Americans,Navajo
106-hr-1780,To provide for the settlement of claims of the Menominee Indian Tribe of Wisconsin.,106,House,"Rep. Green, Mark [R-WI-8]",1999-05-12,Referred to the House Committee on Resources.,Native Americans,Menominee
106-hr-1944,Gila River Indian Community-Phelps Dodge Corporation Water Rights Settlement Act of 1999,106,House,"Rep. Shadegg, John B. [R-AZ-4]",1999-05-26,Referred to Department of the Interior for comments.,Native Americans,Gila River
106-hr-1953,To authorize leases for terms not to exceed 99 years on land held in trust for the Torres Martinez Desert Cahuilla Indians and the Guidiville Band of Pomo Indians of the Guidiville Indian Rancheria.,106,House,"Rep. Bono, Mary [R-CA-44]",1999-05-26,Became Public Law No: 106-216.,Native Americans,Cahuilla|Guidiville|Torres Martinez
