awardee_name,canonical_name,parent_name,funding_agency,setaside,fiscal_year,total_obligations,recipient_city_name,recipient_state_code,contract_number,cedar_uid
CHEROKEE GENERAL CORP,,CHEROKEE GENERAL CORP,Nan,None reported,2008,1657.41,FAIRVIEW,OR,GSP1007XF5072,
ALUTIIQ ADVANCED SECURITY SOLUTIONS LLC,Afognak Native Corporation,AFOGNAK NATIVE CORP,National Aeronautics And Space Administration,8(a),2022,772233.7,ANCHORAGE,AK,80GSFC18C0090,CE-0007J-FJ
LUMBEE TRIBE ENTERPRISES LLC,Lumbee,LUMBEE TRIBE ENTERPRISES LLC,Dept Of Defense,None reported,2022,0.0,PEMBROKE,NC,M6785419F7208,CE-0016E-P7
"ASRC FEDERAL CYBER, LLC",Arctic Slope Regional Corporation,ARCTIC SLOPE REGIONAL CORPORATION,Dept Of Defense,None reported,2021,0.0,COLUMBIA,MD,HT001119C0009,CE-00078-KR
"PUYENPA SERVICES, LLC",Duckwater,"PUYENPA SERVICES, LLC",Dept Of Defense,8(a),2023,119084.0,DUCKWATER,NV,N6426720C0063,CE-00145-P6
"MA-CHIS INTERNATIONAL SERVICES, INC.",Ma-Chis Lower Creek Indian Tribe of Alabama,"MA-CHIS INTERNATIONAL SERVICES, INC.",Dept Of Defense,8(a),2023,43800.0,ELBA,AL,N6945022C0005,CE-001DM-XD
Altitude Technologies Inc.,,Altitude Technologies Inc.,Dept Of Defense,None reported,2021,120.0,DURANGO,CO,SPE2D321F5011,
"KOMAN CONSTRUCTION, LLC","Natives of Kodiak, Inc.","NATIVES OF KODIAK, INCORPORATED",Dept Of Defense,8(a),2023,313777.2,ANCHORAGE,AK,FA481920C0061,CE-000B5-ND
"CHEROKEE FEDERAL SOLUTIONS, L.L.C.",Cherokee Nation,"CHEROKEE FEDERAL SOLUTIONS, L.L.C.",Forest Service,8(a),2016,241745.98,CATOOSA,OK,AG7604D160014,CE-00134-BX
"AHTNA LOGISTICS, LLC","Ahtna, Incorporated","AHTNA, INCORPORATED",Dept Of Defense,None reported,2024,1227133.0,ANCHORAGE,AK,M6785424F8029,CE-00076-76
"Toyakoi Ventures, Llc",,Toyakoi Ventures Llc,Dept Of Defense,8(a),2016,153573.140625,SPANISH FORK,UT,0015,
OLGOONIK DIVERSIFIED SERVICES LLC,Olgoonik Corporation,OLGOONIK DIVERSIFIED SERVICES LLC,Public Buildings Service,8(a),2017,0.0,COLORADO SPRINGS,CO,GS08P17JBC0012,CE-000B8-7R
"CHENEGA ANALYTIC BUSINESS SOLUTIONS, LLC",Chenega Corporation,THE CHENEGA CORPORATION,Dept Of Defense,8(a),2020,0.0,LORTON,VA,N6134020D0019,CE-00085-6X
SAVA WORKFORCE SOLUTIONS LLC,"NANA Regional Corporation, Incorporated",NANA REGIONAL CORPORATION INC,Federal Acquisition Service,None reported,2013,0.0,HERNDON,VA,GS07F0451Y,CE-0007G-30
