cedar_uid,name,entity_class,name_source,name_source_label,name_source_url,name_captured,name_match_route,prior_canonical_name,name_differs_from_prior
CE-000M8-M8,Lakota Federal Credit Union,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Lakota Federal Credit Union,0
CE-000M9-T1,"Lakota Fund, Inc., The",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Lakota Fund, Inc., The",0
CE-000MA-0T,AllNations Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,AllNations Bank,0
CE-000MB-6K,Lumbee Guaranty Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Lumbee Guaranty Bank,0
CE-000MC-CC,"Alaska Growth Capital BIDCO, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Alaska Growth Capital BIDCO, Inc.",0
CE-000MD-J5,"Lower Brule Community Development Enterprise, LLC",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Lower Brule Community Development Enterprise, LLC",0
CE-000ME-RY,Molokai Community Federal Credit Union,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Molokai Community Federal Credit Union,0
CE-000MF-YQ,Mni Sota Fund,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Mni Sota Fund,0
CE-000MG-4G,"Montana Homeownership Network, Inc. The",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Montana Homeownership Network, Inc. The",0
CE-000MH-A9,"Native American Bank, N.A.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Native American Bank, N.A.",0
CE-000MJ-G2,"Native American Bancorporation, Co.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Native American Bancorporation, Co.",0
CE-000MK-PV,Morning Star Federal Credit Union,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Morning Star Federal Credit Union,0
CE-000MM-WM,Mvskoke Loan Fund,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Mvskoke Loan Fund,0
CE-000MN-2D,"Mazaska Owecaso Otipi Financial, Inc",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Mazaska Owecaso Otipi Financial, Inc",0
CE-000MP-86,NACDC Financial Services Inc.,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,NACDC Financial Services Inc.,0
CE-000MQ-EZ,Indian Land Capital Company LLC,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Indian Land Capital Company LLC,0
CE-000MR-MR,Nimiipuu Community Development Fund,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Nimiipuu Community Development Fund,0
CE-000MS-TH,"Northern Shores Community Development, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Northern Shores Community Development, Inc.",0
CE-000MT-0A,Northwest Native Development Fund,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Northwest Native Development Fund,0
CE-000MV-63,"Native360 Loan Fund, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Native360 Loan Fund, Inc.",0
CE-000MW-CW,Navajo community Development Financial Institution Inc Non Profit,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Navajo community Development Financial Institution Inc Non Profit,0
CE-000MX-JN,Nixyaawii Community Financial Services,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Nixyaawii Community Financial Services,0
CE-000MY-RE,Oweesta Corporation,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Oweesta Corporation,0
CE-000MZ-Y7,"Pacific Northwest Tribal Lending, a Community Development Financial Institution",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Pacific Northwest Tribal Lending, a Community Development Financial Institution",0
CE-000N0-9G,Plenty Doors Community Development Corporation,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Plenty Doors Community Development Corporation,0
CE-000N1-F9,Pauls Valley National Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Pauls Valley National Bank,0
CE-000N2-N2,Pinnacle Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Pinnacle Bank,0
CE-000N3-VV,People's Bank of Seneca,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,People's Bank of Seneca,0
CE-000N4-1M,Peoples Partners for Community Development,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Peoples Partners for Community Development,0
CE-000N5-7D,"Native Partnership for Housing, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Native Partnership for Housing, Inc.",0
CE-000N6-D6,Security State Bank of Oklahoma,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Security State Bank of Oklahoma,0
CE-000N7-KZ,"Island Mountain Community Development Financial Institution, Inc.",Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Island Mountain Community Development Financial Institution, Inc.",0
CE-000N8-SR,Seneca Nation of Indians Federal Credit Union,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Seneca Nation of Indians Federal Credit Union,0
CE-000N9-ZH,Seneca Nation of Indians Economic Development Company,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Seneca Nation of Indians Economic Development Company,0
CE-000NA-5A,San Carlos Apache Tribe Relending Enterprise,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,San Carlos Apache Tribe Relending Enterprise,0
CE-000NB-B3,"Spruce Root, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Spruce Root, Inc.",0
CE-000NC-HW,"Sequoyah Fund Inc., The",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Sequoyah Fund Inc., The",0
CE-000ND-QN,Sisseton Wahpeton Federal Credit Union,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Sisseton Wahpeton Federal Credit Union,0
CE-000NE-XE,Southwest Native Asset Coalition Corporation (Arizona Native Asset Coalition Corporation),Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Southwest Native Asset Coalition Corporation (Arizona Native Asset Coalition Corporation),0
CE-000NF-37,Sovereign Bank (formerly First National Bank and Trust Co.),Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Sovereign Bank (formerly First National Bank and Trust Co.),0
CE-000NG-90,Taala Fund,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Taala Fund,0
CE-000NH-FS,Tigua Community Development Corporation,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Tigua Community Development Corporation,0
CE-000NJ-NJ,Turtle Mountain State Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Turtle Mountain State Bank,0
CE-000NK-VB,Tiwa Lending Services,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Tiwa Lending Services,0
CE-000NM-14,Woodland Financial Partners Inc,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Woodland Financial Partners Inc,0
CE-000NN-7X,Woodlands National Bank,Native Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Woodlands National Bank,0
CE-000NP-DP,White Earth Investment Initiative,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,White Earth Investment Initiative,0
CE-000NQ-KF,Wind River Development Fund,Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,Wind River Development Fund,0
CE-000NR-S8,"Wisconsin Native Loan Fund, Inc.",Native Community Development Financial Institution,cedar_internal,Cedar Press - no authoritative external register publishes a name for this entity class,,,no external register for this class,"Wisconsin Native Loan Fund, Inc.",0
