retired_neid,cedar_uid,status
ANVC-NNPTCH-00,CE-000B2-32,unique
ANVC-NRKLKM-00,CE-000B3-9V,unique
ANVC-NRTHW1-00,CE-000B4-FM,unique
ANVC-NTVSKD-00,CE-000B5-ND,unique
ANVC-NUNAMI-00,CE-000B6-V6,unique
ANVC-OCEANS-00,CE-000B7-1Z,unique
ANVC-OLGOON-00,CE-000B8-7R,unique
ANVC-OUNALA-00,CE-000B9-DH,unique
ANVC-OUZINK-00,CE-000BA-KA,unique
ANVC-PAUGVI-00,CE-000BB-S3,unique
ANVC-PEDROB-00,CE-000BC-ZW,unique
ANVC-PENINS-00,CE-000BD-5N,unique
ANVC-PLTPNT-00,CE-000BE-BE,unique
ANVC-PLTSTT-00,CE-000BF-H7,unique
ANVC-PNTPSS-00,CE-000BG-Q0,unique
ANVC-PRTGRH-00,CE-000BH-XS,unique
ANVC-PTKSPN-00,CE-000BJ-3J,unique
ANVC-QANIRT-00,CE-000BK-9B,unique
ANVC-QINARM-00,CE-000BM-F4,unique
ANVC-QMRTLK-00,CE-000BN-NX,unique
ANVC-RSSNMS-00,CE-000BP-VP,unique
ANVC-SAGUYA-00,CE-000BQ-1F,unique
ANVC-SANAKX-00,CE-000BR-78,unique
ANVC-SAVOON-00,CE-000BS-D1,unique
ANVC-SCRVLL-00,CE-000BT-KT,unique
ANVC-SEALIO-00,CE-000BV-SK,unique
ANVC-SHAANS-00,CE-000BW-ZC,unique
ANVC-SHEEAT-00,CE-000BX-55,unique
ANVC-SHKTL1-00,CE-000BY-BY,unique
ANVC-SHSHMR-00,CE-000BZ-HQ,unique
ANVC-SHUMAG-00,CE-000C0-W0,unique
ANVC-SHUYAK-00,CE-000C1-2S,unique
ANVC-SITNAS-00,CE-000C2-8J,unique
ANVC-SIVUQA-00,CE-000C3-EB,unique
ANVC-SLDVSS-00,CE-000C4-M4,unique
ANVC-SLMTFS-00,CE-000C5-TX,unique
ANVC-SOLOMO-00,CE-000C6-0P,unique
ANVC-STBBN1-00,CE-000C7-6F,unique
ANVC-STGRGT-00,CE-000C8-C8,unique
ANVC-STHDYH-00,CE-000C9-J1,unique
ANVC-STMCH1-00,CE-000CA-RT,unique
ANVC-STMRYS-00,CE-000CB-YK,unique
ANVC-STUYAH-00,CE-000CC-4C,unique
ANVC-SWANLA-00,CE-000CD-A5,unique
ANVC-TANALI-00,CE-000CE-GY,unique
ANVC-TATITL-00,CE-000CF-PQ,unique
ANVC-TELLE1-00,CE-000CG-WG,unique
ANVC-TETLI1-00,CE-000CH-29,unique
ANVC-TGHTTH-00,CE-000CJ-82,unique
ANVC-TGKNTV-00,CE-000CK-EV,unique
ANVC-TIHTEE-00,CE-000CM-MM,unique
ANVC-TIKIGA-00,CE-000CN-TD,unique
ANVC-TLKSRM-00,CE-000CP-06,unique
ANVC-TNCRS1-00,CE-000CQ-6Z,unique
ANVC-TNDGSX-00,CE-000CR-CR,unique
ANVC-TNNRMT-00,CE-000CS-JH,unique
ANVC-TOZITN-00,CE-000CT-RA,unique
ANVC-TWNHLL-00,CE-000CV-Y3,unique
ANVC-TYONE1-00,CE-000CW-4W,unique
ANVC-UNALAK-00,CE-000CX-AN,unique
