handle,cedar_uid,valid_from,valid_to,status,change_reason,recorded_date
AKNF-SCMNBY-00-CALSTA-ASVCPR,CE-0005H-ZS,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SELAWK-00-NANARC-MANLLQ,CE-0005J-5J,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SHGELK-00-DOYONL-TNNACH,CE-0005K-BB,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SHKTLK-00-BERSTR-KAWRAK,CE-0005M-H4,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SHNGNK-00-NANARC-MANLLQ,CE-0005N-QX,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SITKAT-00-SEALSK-TLNGHD,CE-0005P-XP,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SKAGWY-00-SEALSK,CE-0005Q-3F,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SLDVIA-00-CKINLT,CE-0005R-98,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SLMATF-00-CKINLT,CE-0005S-F1,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SLTMUT-00-CALSTA-ASVCPR,CE-0005T-NT,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SNKNEK-00-BRBYCO-BRBYAS,CE-0005V-VK,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SOLOMN-00-BERSTR-KAWRAK,CE-0005W-1C,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SSHMRF-00-BERSTR-KAWRAK,CE-0005X-75,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-STBBNS-00-BERSTR-KAWRAK,CE-0005Y-DY,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-STEVNS-00-DOYONL-CATHTG-TNNACH,CE-0005Z-KQ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-STGRGE-00-ALEUTC-PRBLFA-PRBLFC,CE-00060-Y0,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-STMCHL-00-BERSTR-KAWRAK,CE-00061-4S,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-STNYRV-00-CALSTA-ASVCPR,CE-00062-AJ,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-STPAUL-00-ALEUTC-PRBLFA-PRBLFC,CE-00063-GB,2026-08-29,,current,first recorded binding,2026-08-29
AKNF-SUNAQT-00-KONIAG,CE-00064-P4,2026-08-29,,current,first recorded binding,2026-08-29
