=== OCR START 16:50:36  files=155 pages=994
ok   2.5s pages=  2 chars=    307  2021__Doyon_Limited__2021_Doyon_Annual_Report_1.31.22__e02dc299.pdf
ok   2.2s pages=  2 chars=    125  2021__Koniag_Inc.__2021_Koniag_Annual_Report_08-19-21_4__5f56f92e.pdf
ok   5.5s pages=  2 chars=     46  2022__Ahtna_Inc.__2022_Ahtna_Annual_Report_5-16-2023__b116cb7b.pdf
MuPDF error: format error: No common ancestor in structure tree

ok   2.7s pages=  2 chars=    225  2022__NANA_Regional_Corporation_Inc.__2022_NANA_Annual_Report_2-8-23__7237cd22.p
ok   1.5s pages=  2 chars=   1201  2022__Sealaska_Corporation__2022_Sealaska_VIkki_Mata_Proxy_Materials_05-25-22__c
ok   2.5s pages=  2 chars=    263  2023__Ahtna_Inc.__2023_Ahtna_Annual_Report_8-30-24__4aa367fd.pdf
ok   1.9s pages=  2 chars=     73  2023__Bering_Straits_Native_Corporation__2023_Bering_Straits_Settlement_Trust_8-
ok   1.3s pages=  2 chars=    245  2023__Bristol_Bay_Native_Corporation__2023_Bristol_Bay_Annual_Report_8-18-23__8b
ok   1.2s pages=  2 chars=    143  2023__Chugach_Alaska_Corporation__2023_Chugach_Annual_Report_7-3-24__12b566fa.pd
ok   1.7s pages=  2 chars=    131  2024__Bristol_Bay_Native_Corporation__2024_Bristol_Bay_Annual_Report_8-19-24_2__
ok   2.0s pages=  2 chars=     35  2025__Bering_Straits_Native_Corporation__2025_Bering_Straits_Annual_Report_8-8-2
ok   1.3s pages=  2 chars=    193  2025__Bristol_Bay_Native_Corporation__2025_Bristol_Bay_Native_Corporation_Annual
ok   1.2s pages=  2 chars=     97  2025__NANA_Regional_Corporation_Inc.__2025_NANA_Regional_Corporation_Inc._Annual
ok   2.7s pages=  2 chars=      0  2025__Sealaska_Corporation__2025_Sealaska_Corporation_Annual_Report_5-6-2026__be
ok   0.7s pages=  1 chars=    100  2016__Bristol_Bay_Native_Corporation__2016_Bristol_Bay_Annual_Report_9-13-16__49
ok   0.3s pages=  1 chars=     37  2016__NANA_Regional_Corporation_Inc.__2016_NANA_Annual_Report_02-08-2017__b66348
ok   1.2s pages=  1 chars=     43  2017__Ahtna_Inc.__2017_Ahtna_Annual-Report-FINAL-LOW-RES-04-30-18__f577b3e0.pdf
ok   0.8s pages=  1 chars=     99  2017__Bristol_Bay_Native_Corporation__2017_Bristol_Bay_Annual_Report_8-28-17__40
ok   1.3s pages=  1 chars=     36  2017__Chugach_Alaska_Corporation__2017_Chugach_Annual_Report_6-28-18__063c5913.p
ok   0.6s pages=  1 chars=     62  2017__Sealaska_Corporation__2017_Sealaska_Annual_Report-05-03-18__d43e6b87.pdf
ok   2.2s pages=  1 chars=     68  2018__Ahtna_Inc.__2018_Ahtna_Annual_Report_4-22-19__b9757300.pdf
ok   0.4s pages=  1 chars=     65  2018__NANA_Regional_Corporation_Inc.__2018_NANA_-_Prize_Card_Rec._2-8-18__6310aa
ok   0.4s pages=  1 chars=     89  2018__NANA_Regional_Corporation_Inc.__2018_NANA_-_Regional_Corporation_Amended_N
ok   0.8s pages=  1 chars=     25  2018__Sealaska_Corporation__2018_Sealaska_Annual_Report_5-3-19__c972dd53.pdf
ok   0.9s pages=  1 chars=     37  2019__Aleut_Corporation__2019_Aleut_Corp._Annual_Report_-_Final_Rec._9-3-19__818
