tribe_id,canonical_name,entity_class,state,funding,federal-register,legislation,deals,nagpra,lobbying,contractors,subcontracting,native-owned-businesses,natural-resources,nonprofits,gaming,collections_present,total_rows
AKNF-LARSBY-00-KONIAG,Larsen Bay,Federally recognized Alaska Native Village,AK,40,6,0,0,51,0,282,1,0,0,0,0,5,380
AKNF-CHCKLN-00-CKINLT,Chickaloon,Federally recognized Alaska Native Village,AK,339,2,0,0,2,6,0,1,0,0,26,0,6,376
AKNF-KNIKTR-00-CKINLT,Knik,Federally recognized Alaska Native Village,AK,300,6,0,3,4,8,34,1,0,0,13,0,8,369
ANVC-COUNCI-00,Council Native Corporation,Alaska Native Village Corporation,AK,245,0,0,4,0,0,28,0,0,0,91,0,4,368
TRBF-MCHPDA-00,Mechoopda,Federally recognized tribe,CA,164,11,0,0,61,60,0,1,0,0,16,36,7,349
TRBF-CHRAEH-00,Cher-Ae Heights,Federally recognized tribe,CA,182,7,0,3,32,2,11,1,0,0,10,94,9,342
TRBF-FTMCDM-00,Fort McDermitt,Federally recognized tribe,NV,216,15,0,3,88,10,0,0,0,0,8,1,7,341
AKNF-CIRCLE-00-DOYONL-CATHTG-TNNACH,Circle,Federally recognized Alaska Native Village,AK,76,3,0,2,0,2,225,1,0,0,31,0,7,340
TRBF-TNWNDA-00,Tonawanda,Federally recognized tribe,NY,0,47,0,0,289,0,0,0,0,0,0,0,2,336
ANVC-SOLOMO-00,Solomon Native Corporation,Alaska Native Village Corporation,AK,0,1,0,0,0,0,334,0,0,0,0,0,2,335
ANVC-OUNALA-00,Ounalashka Corporation,Alaska Native Village Corporation,AK,25,1,0,0,13,0,292,0,0,0,2,0,5,333
AKNF-AGDAGX-00-ALEUTC-PRBLFA,Agdaagux,Federally recognized Alaska Native Village,AK,77,4,0,3,7,2,227,1,0,0,11,0,8,332
TRBF-MCHSTR-00,Manchester,Federally recognized tribe,CA,38,22,0,0,27,1,17,0,0,0,1,226,7,332
CNSF-CPTNGR-VJ,Viejas,Federal-level constituency entity,CA,8,7,2,2,0,2,0,0,0,0,7,302,7,330
TRBF-WIYOTT-00,Wiyot,Federally recognized tribe,CA,211,7,0,3,66,1,4,1,0,0,22,9,9,324
CNSF-NAVAJO-RM,Ramah Navajo Chapter,Federal-level constituency entity,NM,284,3,0,0,0,19,0,1,0,0,11,0,5,318
ANVC-PAUGVI-00,"Paug-Vik Incorporated, Ltd.",Alaska Native Village Corporation,AK,2,0,0,0,0,1,315,0,0,0,0,0,3,318
TRBF-TIMBSH-00,Timbi-sha Shoshone,Federally recognized tribe,CA,100,4,0,0,77,94,5,0,0,0,3,31,7,314
